t=2026-05-15T15:39:24+0200 lvl=info msg="command usage" msg="Flag --domain has been deprecated, use --url instead"
t=2026-05-15T15:39:24+0200 lvl=info msg="no configuration paths supplied"
t=2026-05-15T15:39:24+0200 lvl=warn msg="ngrok config file found at both XDG and legacy locations, using XDG location" xdg_path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml legacy_path=C:\\Users\\PC\\.ngrok2\\ngrok.yml
t=2026-05-15T15:39:24+0200 lvl=info msg="using configuration at default config path" path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-15T15:39:24+0200 lvl=info msg="open config file" path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-15T15:39:24+0200 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-15T15:39:25+0200 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-15T15:39:25+0200 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-15T15:39:25+0200 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-15T15:39:49+0200 lvl=info msg="join connections" obj=join id=bd0fe0570b38 l=127.0.0.1:8000 r=81.221.235.143:59845
t=2026-05-15T15:39:49+0200 lvl=info msg="join connections" obj=join id=644a8951dd42 l=127.0.0.1:8000 r=81.221.235.143:59799
t=2026-05-15T15:39:50+0200 lvl=info msg="join connections" obj=join id=304412f4ea7e l=127.0.0.1:8000 r=81.221.235.143:60754
t=2026-05-15T15:39:52+0200 lvl=info msg="join connections" obj=join id=1daa60c13cd5 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:52+0200 lvl=info msg="join connections" obj=join id=589af042e233 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:52+0200 lvl=info msg="join connections" obj=join id=9d9a7bf0b582 l=127.0.0.1:8000 r=81.221.235.143:61674
t=2026-05-15T15:39:53+0200 lvl=info msg="join connections" obj=join id=45c00975732c l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:54+0200 lvl=info msg="join connections" obj=join id=4cf1ece870b7 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:56+0200 lvl=info msg="join connections" obj=join id=a2442c61bcbd l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:56+0200 lvl=info msg="join connections" obj=join id=8a950edc9bd6 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:56+0200 lvl=info msg="join connections" obj=join id=01ae29b05460 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:56+0200 lvl=info msg="join connections" obj=join id=dab80a24e84c l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:56+0200 lvl=info msg="join connections" obj=join id=80e73c2b62d2 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:01+0200 lvl=info msg="join connections" obj=join id=b9df4b31fd9f l=127.0.0.1:8000 r=81.221.235.143:63135
t=2026-05-15T15:40:02+0200 lvl=info msg="join connections" obj=join id=a771a41a4b6f l=127.0.0.1:8000 r=81.221.235.143:63656
t=2026-05-15T15:40:02+0200 lvl=info msg="join connections" obj=join id=46b6487b3f9a l=127.0.0.1:8000 r=81.221.235.143:61224
t=2026-05-15T15:40:04+0200 lvl=info msg="join connections" obj=join id=91629f851ae2 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:04+0200 lvl=info msg="join connections" obj=join id=c34df10f33df l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:04+0200 lvl=info msg="join connections" obj=join id=e4ee7b92adba l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:04+0200 lvl=info msg="join connections" obj=join id=cf39caa2bc2e l=127.0.0.1:8000 r=81.221.235.143:63770
